vehicle,brand,model,category,sales,year,month,date,brandTesla,modelModel3,source
Toyota Prius Liftback,Toyota,Prius Liftback,hybrid,16157,2013,8,2013-08-01,Other,Other,hybridcars.com
Toyota Prius C,Toyota,Prius C,hybrid,5478,2013,8,2013-08-01,Other,Other,hybridcars.com
Toyota Camry,Toyota,Camry,hybrid,4729,2013,8,2013-08-01,Other,Other,hybridcars.com
Toyota Prius V,Toyota,Prius V,hybrid,3932,2013,8,2013-08-01,Other,Other,hybridcars.com
Ford Fusion,Ford,Fusion,hybrid,3694,2013,8,2013-08-01,Other,Other,hybridcars.com
Ford C-Max,Ford,C-Max,hybrid,2411,2013,8,2013-08-01,Other,Other,hybridcars.com
Hyundai Sonata,Hyundai,Sonata,hybrid,2303,2013,8,2013-08-01,Other,Other,hybridcars.com
Lexus CT200h,Lexus,CT200h,hybrid,1784,2013,8,2013-08-01,Other,Other,hybridcars.com
Kia Optima,Kia,Optima,hybrid,1601,2013,8,2013-08-01,Other,Other,hybridcars.com
Lexus ES,Lexus,ES,hybrid,1600,2013,8,2013-08-01,Other,Other,hybridcars.com
Chevrolet Malibu,Chevrolet,Malibu,hybrid,1582,2013,8,2013-08-01,Other,Other,hybridcars.com
Toyota Avalon,Toyota,Avalon,hybrid,1467,2013,8,2013-08-01,Other,Other,hybridcars.com
Lexus RX400/450h,Lexus,RX400/450h,hybrid,1116,2013,8,2013-08-01,Other,Other,hybridcars.com
Buick LaCrosse,Buick,LaCrosse,hybrid,803,2013,8,2013-08-01,Other,Other,hybridcars.com
Lincoln MKZ,Lincoln,MKZ,hybrid,791,2013,8,2013-08-01,Other,Other,hybridcars.com
Volkswagen Jetta,Volkswagen,Jetta,hybrid,712,2013,8,2013-08-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,697,2013,8,2013-08-01,Other,Other,hybridcars.com
Honda CR-Z,Honda,CR-Z,hybrid,483,2013,8,2013-08-01,Other,Other,hybridcars.com
Toyota Highlander,Toyota,Highlander,hybrid,440,2013,8,2013-08-01,Other,Other,hybridcars.com
Honda Insight,Honda,Insight,hybrid,438,2013,8,2013-08-01,Other,Other,hybridcars.com
Buick Regal,Buick,Regal,hybrid,214,2013,8,2013-08-01,Other,Other,hybridcars.com
Acura ILX,Acura,ILX,hybrid,125,2013,8,2013-08-01,Other,Other,hybridcars.com
Audi Q5,Audi,Q5,hybrid,73,2013,8,2013-08-01,Other,Other,hybridcars.com
Lexus GS450h,Lexus,GS450h,hybrid,69,2013,8,2013-08-01,Other,Other,hybridcars.com
BMW Active 3 (335ih),BMW,Active 3 (335ih),hybrid,55,2013,8,2013-08-01,Other,Other,hybridcars.com
Infiniti M,Infiniti,M,hybrid,44,2013,8,2013-08-01,Other,Other,hybridcars.com
Porsche Cayenne,Porsche,Cayenne,hybrid,43,2013,8,2013-08-01,Other,Other,hybridcars.com
BMW Active 5 (535ih),BMW,Active 5 (535ih),hybrid,39,2013,8,2013-08-01,Other,Other,hybridcars.com
GMC Yukon,GMC,Yukon,hybrid,33,2013,8,2013-08-01,Other,Other,hybridcars.com
Chevrolet Tahoe,Chevrolet,Tahoe,hybrid,29,2013,8,2013-08-01,Other,Other,hybridcars.com
Mercedes E400H,Mercedes,E400H,hybrid,29,2013,8,2013-08-01,Other,Other,hybridcars.com
Cadillac Escalade,Cadillac,Escalade,hybrid,21,2013,8,2013-08-01,Other,Other,hybridcars.com
Chevrolet Silverado,Chevrolet,Silverado,hybrid,10,2013,8,2013-08-01,Other,Other,hybridcars.com
Volkswagen Touareg,Volkswagen,Touareg,hybrid,7,2013,8,2013-08-01,Other,Other,hybridcars.com
Lexus LS600h,Lexus,LS600h,hybrid,5,2013,8,2013-08-01,Other,Other,hybridcars.com
GMC Sierra,GMC,Sierra,hybrid,3,2013,8,2013-08-01,Other,Other,hybridcars.com
Mercedes S400HV,Mercedes,S400HV,hybrid,2,2013,8,2013-08-01,Other,Other,hybridcars.com
BMW 7-Series Active,BMW,7-Series Active,hybrid,1,2013,8,2013-08-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,3351,2013,8,2013-08-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,2420,2013,8,2013-08-01,Other,Other,hybridcars.com
Toyota Prius,Toyota,Prius,phev,1791,2013,8,2013-08-01,Other,Other,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1700,2013,8,2013-08-01,Tesla,Other,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,621,2013,8,2013-08-01,Other,Other,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,600,2013,8,2013-08-01,Other,Other,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,231,2013,8,2013-08-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,182,2013,8,2013-08-01,Other,Other,hybridcars.com
Ford Focus,Ford,Focus,bev,175,2013,8,2013-08-01,Other,Other,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,102,2013,8,2013-08-01,Other,Other,hybridcars.com
Honda Fit,Honda,Fit,bev,66,2013,8,2013-08-01,Other,Other,hybridcars.com
Fiat 500e,Fiat,500e,bev,50,2013,8,2013-08-01,Other,Other,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,44,2013,8,2013-08-01,Other,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,30,2013,8,2013-08-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,190,2013,8,2013-08-01,Other,Other,hybridcars.com
Volkswagen Jetta,Volkswagen,Jetta,diesel,5876,2013,8,2013-08-01,Other,Other,hybridcars.com
Volkswagen Passat,Volkswagen,Passat,diesel,4470,2013,8,2013-08-01,Other,Other,hybridcars.com
Volkswagen Golf,Volkswagen,Golf,diesel,803,2013,8,2013-08-01,Other,Other,hybridcars.com
Mercedes GL-Class,Mercedes,GL-Class,diesel,692,2013,8,2013-08-01,Other,Other,hybridcars.com
Porsche Cayenne,Porsche,Cayenne,diesel,555,2013,8,2013-08-01,Other,Other,hybridcars.com
Audi Q5,Audi,Q5,diesel,490,2013,8,2013-08-01,Other,Other,hybridcars.com
BMW X5,BMW,X5,diesel,488,2013,8,2013-08-01,Other,Other,hybridcars.com
Mercedes ML Class,Mercedes,ML Class,diesel,432,2013,8,2013-08-01,Other,Other,hybridcars.com
Chevrolet Cruze,Chevrolet,Cruze,diesel,430,2013,8,2013-08-01,Other,Other,hybridcars.com
Audi Q7,Audi,Q7,diesel,379,2013,8,2013-08-01,Other,Other,hybridcars.com
Volkswagen Beetle,Volkswagen,Beetle,diesel,372,2013,8,2013-08-01,Other,Other,hybridcars.com
Volkswagen Touareg,Volkswagen,Touareg,diesel,366,2013,8,2013-08-01,Other,Other,hybridcars.com
Mercedes GLK Class,Mercedes,GLK Class,diesel,359,2013,8,2013-08-01,Other,Other,hybridcars.com
Audi A6,Audi,A6,diesel,162,2013,8,2013-08-01,Other,Other,hybridcars.com
Audi A7,Audi,A7,diesel,52,2013,8,2013-08-01,Other,Other,hybridcars.com
Mercedes S-Class,Mercedes,S-Class,diesel,40,2013,8,2013-08-01,Other,Other,hybridcars.com
Mercedes E-Class,Mercedes,E-Class,diesel,32,2013,8,2013-08-01,Other,Other,hybridcars.com
Audi A3,Audi,A3,diesel,3,2013,8,2013-08-01,Other,Other,hybridcars.com
Mercedes R-Class,Mercedes,R-Class,diesel,1,2013,8,2013-08-01,Other,Other,hybridcars.com
Toyota Prius Liftback,Toyota,Prius Liftback,hybrid,15252,2013,7,2013-07-01,Other,Other,hybridcars.com
Toyota Camry,Toyota,Camry,hybrid,4193,2013,7,2013-07-01,Other,Other,hybridcars.com
Toyota Prius C,Toyota,Prius C,hybrid,3797,2013,7,2013-07-01,Other,Other,hybridcars.com
Toyota Prius V,Toyota,Prius V,hybrid,3428,2013,7,2013-07-01,Other,Other,hybridcars.com
Ford Fusion,Ford,Fusion,hybrid,2914,2013,7,2013-07-01,Other,Other,hybridcars.com
Ford C-Max,Ford,C-Max,hybrid,2267,2013,7,2013-07-01,Other,Other,hybridcars.com
Hyundai Sonata,Hyundai,Sonata,hybrid,2200,2013,7,2013-07-01,Other,Other,hybridcars.com
Chevrolet Malibu,Chevrolet,Malibu,hybrid,1338,2013,7,2013-07-01,Other,Other,hybridcars.com
Lexus ES,Lexus,ES,hybrid,1324,2013,7,2013-07-01,Other,Other,hybridcars.com
Lexus CT200h,Lexus,CT200h,hybrid,1306,2013,7,2013-07-01,Other,Other,hybridcars.com
Kia Optima,Kia,Optima,hybrid,1241,2013,7,2013-07-01,Other,Other,hybridcars.com
Toyota Avalon,Toyota,Avalon,hybrid,1139,2013,7,2013-07-01,Other,Other,hybridcars.com
Lexus RX400/450h,Lexus,RX400/450h,hybrid,962,2013,7,2013-07-01,Other,Other,hybridcars.com
Lincoln MKZ,Lincoln,MKZ,hybrid,646,2013,7,2013-07-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,578,2013,7,2013-07-01,Other,Other,hybridcars.com
Buick LaCrosse,Buick,LaCrosse,hybrid,530,2013,7,2013-07-01,Other,Other,hybridcars.com
Honda Insight,Honda,Insight,hybrid,420,2013,7,2013-07-01,Other,Other,hybridcars.com
Volkswagen Jetta,Volkswagen,Jetta,hybrid,417,2013,7,2013-07-01,Other,Other,hybridcars.com
Toyota Highlander,Toyota,Highlander,hybrid,410,2013,7,2013-07-01,Other,Other,hybridcars.com
Honda CR-Z,Honda,CR-Z,hybrid,384,2013,7,2013-07-01,Other,Other,hybridcars.com
Buick Regal,Buick,Regal,hybrid,183,2013,7,2013-07-01,Other,Other,hybridcars.com
Acura ILX,Acura,ILX,hybrid,110,2013,7,2013-07-01,Other,Other,hybridcars.com
BMW Active 3 (335ih),BMW,Active 3 (335ih),hybrid,84,2013,7,2013-07-01,Other,Other,hybridcars.com
Lexus GS450h,Lexus,GS450h,hybrid,63,2013,7,2013-07-01,Other,Other,hybridcars.com
Audi Q5,Audi,Q5,hybrid,47,2013,7,2013-07-01,Other,Other,hybridcars.com
BMW Active 5 (535ih),BMW,Active 5 (535ih),hybrid,44,2013,7,2013-07-01,Other,Other,hybridcars.com
Porsche Cayenne,Porsche,Cayenne,hybrid,39,2013,7,2013-07-01,Other,Other,hybridcars.com
Infiniti M,Infiniti,M,hybrid,33,2013,7,2013-07-01,Other,Other,hybridcars.com
Porsche Panamera S,Porsche,Panamera S,hybrid,29,2013,7,2013-07-01,Other,Other,hybridcars.com
Mercedes E400H,Mercedes,E400H,hybrid,26,2013,7,2013-07-01,Other,Other,hybridcars.com
Chevrolet Tahoe,Chevrolet,Tahoe,hybrid,21,2013,7,2013-07-01,Other,Other,hybridcars.com
Cadillac Escalade,Cadillac,Escalade,hybrid,19,2013,7,2013-07-01,Other,Other,hybridcars.com
GMC Yukon,GMC,Yukon,hybrid,18,2013,7,2013-07-01,Other,Other,hybridcars.com
Mercedes S400HV,Mercedes,S400HV,hybrid,8,2013,7,2013-07-01,Other,Other,hybridcars.com
Chevrolet Silverado,Chevrolet,Silverado,hybrid,6,2013,7,2013-07-01,Other,Other,hybridcars.com
Lexus LS600h,Lexus,LS600h,hybrid,6,2013,7,2013-07-01,Other,Other,hybridcars.com
GMC Sierra,GMC,Sierra,hybrid,4,2013,7,2013-07-01,Other,Other,hybridcars.com
Volkswagen Touareg,Volkswagen,Touareg,hybrid,3,2013,7,2013-07-01,Other,Other,hybridcars.com
Lexus HS250h,Lexus,HS250h,hybrid,2,2013,7,2013-07-01,Other,Other,hybridcars.com
Mercedes ML450H,Mercedes,ML450H,hybrid,2,2013,7,2013-07-01,Other,Other,hybridcars.com
BMW 7-Series Active,BMW,7-Series Active,hybrid,1,2013,7,2013-07-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1864,2013,7,2013-07-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1788,2013,7,2013-07-01,Other,Other,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1550,2013,7,2013-07-01,Tesla,Other,hybridcars.com
Toyota Prius,Toyota,Prius,phev,817,2013,7,2013-07-01,Other,Other,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,433,2013,7,2013-07-01,Other,Other,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,407,2013,7,2013-07-01,Other,Other,hybridcars.com
Ford Focus,Ford,Focus,bev,150,2013,7,2013-07-01,Other,Other,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,109,2013,7,2013-07-01,Other,Other,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,103,2013,7,2013-07-01,Other,Other,hybridcars.com
Honda Fit,Honda,Fit,bev,63,2013,7,2013-07-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,58,2013,7,2013-07-01,Other,Other,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,54,2013,7,2013-07-01,Other,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,46,2013,7,2013-07-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,190,2013,7,2013-07-01,Other,Other,hybridcars.com
Volkswagen Jetta,Volkswagen,Jetta,diesel,4821,2013,7,2013-07-01,Other,Other,hybridcars.com
Volkswagen Passat,Volkswagen,Passat,diesel,3997,2013,7,2013-07-01,Other,Other,hybridcars.com
Volkswagen Golf,Volkswagen,Golf,diesel,709,2013,7,2013-07-01,Other,Other,hybridcars.com
Porsche Cayenne,Porsche,Cayenne,diesel,478,2013,7,2013-07-01,Other,Other,hybridcars.com
BMW X5,BMW,X5,diesel,468,2013,7,2013-07-01,Other,Other,hybridcars.com
Volkswagen Touareg,Volkswagen,Touareg,diesel,360,2013,7,2013-07-01,Other,Other,hybridcars.com
Volkswagen Beetle,Volkswagen,Beetle,diesel,348,2013,7,2013-07-01,Other,Other,hybridcars.com
Chevrolet Cruze,Chevrolet,Cruze,diesel,347,2013,7,2013-07-01,Other,Other,hybridcars.com
Mercedes GLK Class,Mercedes,GLK Class,diesel,344,2013,7,2013-07-01,Other,Other,hybridcars.com
Audi Q7,Audi,Q7,diesel,319,2013,7,2013-07-01,Other,Other,hybridcars.com
Mercedes ML Class,Mercedes,ML Class,diesel,265,2013,7,2013-07-01,Other,Other,hybridcars.com
Audi Q5,Audi,Q5,diesel,231,2013,7,2013-07-01,Other,Other,hybridcars.com
Mercedes GL-Class,Mercedes,GL-Class,diesel,185,2013,7,2013-07-01,Other,Other,hybridcars.com
Audi A6,Audi,A6,diesel,99,2013,7,2013-07-01,Other,Other,hybridcars.com
Mercedes E-Class,Mercedes,E-Class,diesel,47,2013,7,2013-07-01,Other,Other,hybridcars.com
Audi A7,Audi,A7,diesel,46,2013,7,2013-07-01,Other,Other,hybridcars.com
Mercedes S-Class,Mercedes,S-Class,diesel,36,2013,7,2013-07-01,Other,Other,hybridcars.com
Mercedes R-Class,Mercedes,R-Class,diesel,2,2013,7,2013-07-01,Other,Other,hybridcars.com
Toyota Prius Liftback,Toyota,Prius Liftback,hybrid,14066,2013,6,2013-06-01,Other,Other,hybridcars.com
Toyota Camry,Toyota,Camry,hybrid,3878,2013,6,2013-06-01,Other,Other,hybridcars.com
Toyota Prius C,Toyota,Prius C,hybrid,3442,2013,6,2013-06-01,Other,Other,hybridcars.com
Ford Fusion,Ford,Fusion,hybrid,3057,2013,6,2013-06-01,Other,Other,hybridcars.com
Toyota Prius V,Toyota,Prius V,hybrid,2987,2013,6,2013-06-01,Other,Other,hybridcars.com
Ford C-Max,Ford,C-Max,hybrid,2889,2013,6,2013-06-01,Other,Other,hybridcars.com
Hyundai Sonata,Hyundai,Sonata,hybrid,2129,2013,6,2013-06-01,Other,Other,hybridcars.com
Chevrolet Malibu,Chevrolet,Malibu,hybrid,1651,2013,6,2013-06-01,Other,Other,hybridcars.com
Lexus CT200h,Lexus,CT200h,hybrid,1513,2013,6,2013-06-01,Other,Other,hybridcars.com
Toyota Avalon,Toyota,Avalon,hybrid,1394,2013,6,2013-06-01,Other,Other,hybridcars.com
Lexus ES,Lexus,ES,hybrid,1239,2013,6,2013-06-01,Other,Other,hybridcars.com
Kia Optima,Kia,Optima,hybrid,1100,2013,6,2013-06-01,Other,Other,hybridcars.com
Lexus RX400/450h,Lexus,RX400/450h,hybrid,900,2013,6,2013-06-01,Other,Other,hybridcars.com
Lincoln MKZ,Lincoln,MKZ,hybrid,768,2013,6,2013-06-01,Other,Other,hybridcars.com
Buick LaCrosse,Buick,LaCrosse,hybrid,619,2013,6,2013-06-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,568,2013,6,2013-06-01,Other,Other,hybridcars.com
Toyota Highlander,Toyota,Highlander,hybrid,550,2013,6,2013-06-01,Other,Other,hybridcars.com
Volkswagen Jetta,Volkswagen,Jetta,hybrid,438,2013,6,2013-06-01,Other,Other,hybridcars.com
Honda CR-Z,Honda,CR-Z,hybrid,393,2013,6,2013-06-01,Other,Other,hybridcars.com
Honda Insight,Honda,Insight,hybrid,384,2013,6,2013-06-01,Other,Other,hybridcars.com
Buick Regal,Buick,Regal,hybrid,227,2013,6,2013-06-01,Other,Other,hybridcars.com
Acura ILX,Acura,ILX,hybrid,163,2013,6,2013-06-01,Other,Other,hybridcars.com
BMW Active 3 (335ih),BMW,Active 3 (335ih),hybrid,104,2013,6,2013-06-01,Other,Other,hybridcars.com
Audi Q5,Audi,Q5,hybrid,83,2013,6,2013-06-01,Other,Other,hybridcars.com
Porsche Cayenne,Porsche,Cayenne,hybrid,62,2013,6,2013-06-01,Other,Other,hybridcars.com
Lexus GS450h,Lexus,GS450h,hybrid,55,2013,6,2013-06-01,Other,Other,hybridcars.com
Infiniti M,Infiniti,M,hybrid,47,2013,6,2013-06-01,Other,Other,hybridcars.com
Chevrolet Tahoe,Chevrolet,Tahoe,hybrid,45,2013,6,2013-06-01,Other,Other,hybridcars.com
GMC Yukon,GMC,Yukon,hybrid,40,2013,6,2013-06-01,Other,Other,hybridcars.com
Cadillac Escalade,Cadillac,Escalade,hybrid,35,2013,6,2013-06-01,Other,Other,hybridcars.com
BMW Active 5 (535ih),BMW,Active 5 (535ih),hybrid,28,2013,6,2013-06-01,Other,Other,hybridcars.com
Mercedes E400H,Mercedes,E400H,hybrid,23,2013,6,2013-06-01,Other,Other,hybridcars.com
Volkswagen Touareg,Volkswagen,Touareg,hybrid,12,2013,6,2013-06-01,Other,Other,hybridcars.com
Lexus LS600h,Lexus,LS600h,hybrid,10,2013,6,2013-06-01,Other,Other,hybridcars.com
Chevrolet Silverado,Chevrolet,Silverado,hybrid,9,2013,6,2013-06-01,Other,Other,hybridcars.com
Mercedes S400HV,Mercedes,S400HV,hybrid,5,2013,6,2013-06-01,Other,Other,hybridcars.com
GMC Sierra,GMC,Sierra,hybrid,4,2013,6,2013-06-01,Other,Other,hybridcars.com
Porsche Panamera S,Porsche,Panamera S,hybrid,4,2013,6,2013-06-01,Other,Other,hybridcars.com
BMW 7-Series Active,BMW,7-Series Active,hybrid,2,2013,6,2013-06-01,Other,Other,hybridcars.com
Lexus HS250h,Lexus,HS250h,hybrid,1,2013,6,2013-06-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2698,2013,6,2013-06-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,2225,2013,6,2013-06-01,Other,Other,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1800,2013,6,2013-06-01,Tesla,Other,hybridcars.com
Toyota Prius,Toyota,Prius,phev,584,2013,6,2013-06-01,Other,Other,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,455,2013,6,2013-06-01,Other,Other,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,390,2013,6,2013-06-01,Other,Other,hybridcars.com
Honda Fit,Honda,Fit,bev,208,2013,6,2013-06-01,Other,Other,hybridcars.com
Ford Focus,Ford,Focus,bev,177,2013,6,2013-06-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,53,2013,6,2013-06-01,Other,Other,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,44,2013,6,2013-06-01,Other,Other,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,42,2013,6,2013-06-01,Other,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,39,2013,6,2013-06-01,Other,Other,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,27,2013,6,2013-06-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,274,2013,6,2013-06-01,Other,Other,hybridcars.com
Volkswagen Jetta,Volkswagen,Jetta,diesel,3940,2013,6,2013-06-01,Other,Other,hybridcars.com
Volkswagen Passat,Volkswagen,Passat,diesel,3405,2013,6,2013-06-01,Other,Other,hybridcars.com
Volkswagen Golf,Volkswagen,Golf,diesel,698,2013,6,2013-06-01,Other,Other,hybridcars.com
Porsche Cayenne,Porsche,Cayenne,diesel,560,2013,6,2013-06-01,Other,Other,hybridcars.com
BMW X5,BMW,X5,diesel,544,2013,6,2013-06-01,Other,Other,hybridcars.com
Mercedes GLK Class,Mercedes,GLK Class,diesel,500,2013,6,2013-06-01,Other,Other,hybridcars.com
Mercedes ML Class,Mercedes,ML Class,diesel,480,2013,6,2013-06-01,Other,Other,hybridcars.com
Volkswagen Touareg,Volkswagen,Touareg,diesel,332,2013,6,2013-06-01,Other,Other,hybridcars.com
Audi Q7,Audi,Q7,diesel,310,2013,6,2013-06-01,Other,Other,hybridcars.com
Mercedes GL-Class,Mercedes,GL-Class,diesel,301,2013,6,2013-06-01,Other,Other,hybridcars.com
Volkswagen Beetle,Volkswagen,Beetle,diesel,278,2013,6,2013-06-01,Other,Other,hybridcars.com
Chevrolet Cruze,Chevrolet,Cruze,diesel,188,2013,6,2013-06-01,Other,Other,hybridcars.com
Mercedes E-Class,Mercedes,E-Class,diesel,98,2013,6,2013-06-01,Other,Other,hybridcars.com
Mercedes S-Class,Mercedes,S-Class,diesel,35,2013,6,2013-06-01,Other,Other,hybridcars.com
Audi A3,Audi,A3,diesel,1,2013,6,2013-06-01,Other,Other,hybridcars.com
Toyota Prius Liftback,Toyota,Prius Liftback,hybrid,15330,2013,5,2013-05-01,Other,Other,hybridcars.com
Toyota Camry,Toyota,Camry,hybrid,4265,2013,5,2013-05-01,Other,Other,hybridcars.com
Toyota Prius C,Toyota,Prius C,hybrid,3782,2013,5,2013-05-01,Other,Other,hybridcars.com
Toyota Prius V,Toyota,Prius V,hybrid,3732,2013,5,2013-05-01,Other,Other,hybridcars.com
Ford Fusion,Ford,Fusion,hybrid,3335,2013,5,2013-05-01,Other,Other,hybridcars.com
Ford C-Max,Ford,C-Max,hybrid,3261,2013,5,2013-05-01,Other,Other,hybridcars.com
Hyundai Sonata,Hyundai,Sonata,hybrid,1817,2013,5,2013-05-01,Other,Other,hybridcars.com
Chevrolet Malibu,Chevrolet,Malibu,hybrid,1695,2013,5,2013-05-01,Other,Other,hybridcars.com
Lexus CT200h,Lexus,CT200h,hybrid,1623,2013,5,2013-05-01,Other,Other,hybridcars.com
Toyota Avalon,Toyota,Avalon,hybrid,1514,2013,5,2013-05-01,Other,Other,hybridcars.com
Lexus ES,Lexus,ES,hybrid,1434,2013,5,2013-05-01,Other,Other,hybridcars.com
Kia Optima,Kia,Optima,hybrid,1206,2013,5,2013-05-01,Other,Other,hybridcars.com
Lexus RX400/450h,Lexus,RX400/450h,hybrid,885,2013,5,2013-05-01,Other,Other,hybridcars.com
Lincoln MKZ,Lincoln,MKZ,hybrid,715,2013,5,2013-05-01,Other,Other,hybridcars.com
Buick LaCrosse,Buick,LaCrosse,hybrid,668,2013,5,2013-05-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,570,2013,5,2013-05-01,Other,Other,hybridcars.com
Toyota Highlander,Toyota,Highlander,hybrid,545,2013,5,2013-05-01,Other,Other,hybridcars.com
Volkswagen Jetta,Volkswagen,Jetta,hybrid,473,2013,5,2013-05-01,Other,Other,hybridcars.com
Honda CR-Z,Honda,CR-Z,hybrid,427,2013,5,2013-05-01,Other,Other,hybridcars.com
Honda Insight,Honda,Insight,hybrid,426,2013,5,2013-05-01,Other,Other,hybridcars.com
Buick Regal,Buick,Regal,hybrid,291,2013,5,2013-05-01,Other,Other,hybridcars.com
Acura ILX,Acura,ILX,hybrid,195,2013,5,2013-05-01,Other,Other,hybridcars.com
Audi Q5,Audi,Q5,hybrid,105,2013,5,2013-05-01,Other,Other,hybridcars.com
BMW Active 3 (335ih),BMW,Active 3 (335ih),hybrid,100,2013,5,2013-05-01,Other,Other,hybridcars.com
Cadillac Escalade,Cadillac,Escalade,hybrid,93,2013,5,2013-05-01,Other,Other,hybridcars.com
Porsche Cayenne,Porsche,Cayenne,hybrid,48,2013,5,2013-05-01,Other,Other,hybridcars.com
Infiniti M,Infiniti,M,hybrid,42,2013,5,2013-05-01,Other,Other,hybridcars.com
Lexus GS450h,Lexus,GS450h,hybrid,39,2013,5,2013-05-01,Other,Other,hybridcars.com
BMW Active 5 (535ih),BMW,Active 5 (535ih),hybrid,35,2013,5,2013-05-01,Other,Other,hybridcars.com
Chevrolet Tahoe,Chevrolet,Tahoe,hybrid,34,2013,5,2013-05-01,Other,Other,hybridcars.com
Mercedes E400H,Mercedes,E400H,hybrid,29,2013,5,2013-05-01,Other,Other,hybridcars.com
GMC Yukon,GMC,Yukon,hybrid,27,2013,5,2013-05-01,Other,Other,hybridcars.com
Chevrolet Silverado,Chevrolet,Silverado,hybrid,11,2013,5,2013-05-01,Other,Other,hybridcars.com
Lexus LS600h,Lexus,LS600h,hybrid,11,2013,5,2013-05-01,Other,Other,hybridcars.com
GMC Sierra,GMC,Sierra,hybrid,9,2013,5,2013-05-01,Other,Other,hybridcars.com
Mercedes S400HV,Mercedes,S400HV,hybrid,8,2013,5,2013-05-01,Other,Other,hybridcars.com
Porsche Panamera S,Porsche,Panamera S,hybrid,7,2013,5,2013-05-01,Other,Other,hybridcars.com
Volkswagen Touareg,Volkswagen,Touareg,hybrid,6,2013,5,2013-05-01,Other,Other,hybridcars.com
BMW 7-Series Active,BMW,7-Series Active,hybrid,3,2013,5,2013-05-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,2138,2013,5,2013-05-01,Other,Other,hybridcars.com
Tesla Model S,Tesla,Model S,bev,2000,2013,5,2013-05-01,Tesla,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1607,2013,5,2013-05-01,Other,Other,hybridcars.com
Toyota Prius,Toyota,Prius,phev,678,2013,5,2013-05-01,Other,Other,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,450,2013,5,2013-05-01,Other,Other,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,416,2013,5,2013-05-01,Other,Other,hybridcars.com
Ford Focus,Ford,Focus,bev,157,2013,5,2013-05-01,Other,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,91,2013,5,2013-05-01,Other,Other,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,84,2013,5,2013-05-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,60,2013,5,2013-05-01,Other,Other,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,58,2013,5,2013-05-01,Other,Other,hybridcars.com
Honda Fit,Honda,Fit,bev,15,2013,5,2013-05-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,249,2013,5,2013-05-01,Other,Other,hybridcars.com
Volkswagen Jetta,Volkswagen,Jetta,diesel,3752,2013,5,2013-05-01,Other,Other,hybridcars.com
